age,month,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
2,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
2,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
2,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
2,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
6,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
2,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
3,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
5,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
4,may,999,0,nonexistent,1.1,93.994,-36.4,9,5191,no
